Hotel_Name,Hotel_Address,Average_Score,lat,lng,location,country,address
Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France,8.1,48.8661705,2.331561,Paris,France,"10, Rue Saint-Hyacinthe, Place Vendome, Paris, Paris, 75001, France"
Bradford Elys es Astotel,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,9.1,48.8729676,2.3081178,Paris,France,"10, Rue Saint-Philippe Du Roule, Faubourg du Roule, Paris, Paris, 75008, France"
W London Leicester Square,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,8.4,51.510843,-0.1314287,London,United Kingdom,"10, Wardour Street, Leicester Square, London, Greater London, WC2H 7BG, United Kingdom"
The Victoria,10 West Temple Sheen London SW14 7RT United Kingdom,8.3,51.4611219,-0.2756216,London,United Kingdom,"The Victoria, 10, West Temple Sheen, Sheen Mount, East Sheen, London Borough of Richmond upon Thames, London, Greater London, England, SW14 7RT, United Kingdom"
Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom,8.9,51.5286766,-0.1283489,London,United Kingdom,"Shaw Theatre, 100-110, Euston Road, Somers Town, London Borough of Camden, London, Greater London, England, NW1 2AJ, United Kingdom"
Crowne Plaza London Kensington,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,8.7,51.495179,-0.183827,London,United Kingdom,"DoubleTree by Hilton London Kensington, 100, Cromwell Road, The Boltons, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4ER, United Kingdom"
Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8.0,51.4925138,-0.1787917,London,United Kingdom,"100 Queen's Gate Hotel London, Curio Collection by Hilton, 100, Queen's Gate, The Boltons, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 5AG, United Kingdom"
Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8.6,51.5254162,-0.0772849,London,United Kingdom,"One Hundred Shoreditch, 100, Shoreditch High Street, Shoreditch, London Borough of Hackney, London, Greater London, England, E1 6JQ, United Kingdom"
Staybridge Suites London Vauxhall,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,9.2,51.4891226,-0.1205639,London,United Kingdom,"Staybridge Suites, 100, Vauxhall Walk, Kennington Cross, Vauxhall, London Borough of Lambeth, London, Greater London, England, SE11 5EL, United Kingdom"
The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8.4,51.4956657,-0.1452793,London,United Kingdom,"101, Buckingham Palace Road, Victoria, London, Greater London, SW1W 0SJ, United Kingdom"
The Park Tower Knightsbridge a Luxury Collection Hotel,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,8.2,51.5014191,-0.1625805,London,United Kingdom,"Havana Cigar Exchange, 101, Knightsbridge, Hans Town, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW1X 7RN, United Kingdom"
Amp re,102 Avenue de Villiers 17th arr 75017 Paris France,8.8,48.8848583,2.2997023,Paris,France,"102, Avenue De Villiers, La Plaine Monceau, Paris, Paris, 75017, France"
Melia Paris Champs Elys es,102 Avenue Victor Hugo 16th arr 75016 Paris France,8.3,48.8688962,2.2827459,Paris,France,"102, Avenue Victor Hugo, Porte Dauphine, Paris, Paris, 75016, France"
Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France,8.6,48.8494851,2.2955063,Paris,France,"102, Boulevard De Grenelle, Grenelle, Paris, Paris, 75015, France"
Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,8.2,51.5108439,-0.1839074,London,United Kingdom,"Bayswater Road, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4QS, United Kingdom"
Park Plaza Sherlock Holmes London,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,8.2,51.5209191,-0.1566567,London,United Kingdom,"Baker Street, Marylebone, London, Greater London, W1U 6UA, United Kingdom"
Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,8.4,48.8756604,2.3252075,Paris,France,"108, Rue Saint-Lazare, l'Europe, Paris, Paris, 75008, France"
The Kensington Hotel,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,8.7,51.4925478,-0.1780611,London,United Kingdom,"Queen Street, Mayfair, London, Greater London, W1J 5PD, United Kingdom"
Holiday Inn London Stratford City,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8.7,51.5426054,-0.0072708,London,United Kingdom,"Chestnut Plaza, Stratford, London, Greater London, E20 1GL, United Kingdom"
Staybridge Suites London Stratford,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,9.2,51.5426351,-0.0073272,London,United Kingdom,"Chestnut Plaza, Stratford, London, Greater London, E20 1GL, United Kingdom"
Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,8.0,51.5054544,-0.2262216,London,United Kingdom,"Hotel Shepherds Bush, 11-12, Poplar Mews, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7JS, United Kingdom"
My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,8.1,51.5188555,-0.1319172,London,United Kingdom,"11-13, Bayley Street, Fitzrovia, London, Greater London, WC1B 3HB, United Kingdom"
Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,8.3,48.8468064,2.3714789,Paris,France,"15, Rue De Lyon, Quinze-Vingts, Paris, Paris, 75012, France"
H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,8.7,48.8427564,2.3305636,Paris,France,"11 bis, Rue de Birague, l'Arsenal, Paris, Paris, 75004, France"
H tel Regina Op ra Grands Boulevards,11 Bis rue Mazagran 10th arr 75010 Paris France,7.9,48.8708508,2.3515882,Paris,France,"11 bis, Rue de Saint-Quentin, Saint-Vincent-de-Paul, Paris, Paris, France"
11 Cadogan Gardens,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,8.7,51.4936161,-0.1592347,London,United Kingdom,"11, Cadogan Gardens, Knightsbridge, London, Greater London, SW1X 0AW, United Kingdom"
The Wellesley Knightsbridge a Luxury Collection Hotel London,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,9.0,51.502485,-0.1539265,City of Westminster,United Kingdom,"Knightsbridge, Belgravia, Royal Borough of Kensington and Chelsea, City of Westminster, Greater London, England, SW1X 7LF, United Kingdom"
Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France,7.5,48.8728324,2.3193886,Paris,France,"11b, Rue d'Edimbourg, l'Europe, Paris, Paris, 75008, France"
Op ra Marigny,11 Rue de l Arcade 8th arr 75008 Paris France,8.1,48.871723,2.3235377,Paris,France,"11, Rue De L' Olive, La Chapelle, Paris, Paris, 75018, France"
H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,8.3,48.8732706,2.3450746,Paris,France,"11, Rue De La Terrasse, La Plaine Monceau, Paris, Paris, 75017, France"
Le Marcel,11 rue du 8 Mai 1945 10th arr 75010 Paris France,8.5,48.8761376,2.3572681,Paris,France,"11, Rue Du Terrage, l'Hopital Saint-Louis, Paris, Paris, 75010, France"
H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France,8.6,48.8581186,2.3529369,Paris,France,"11, Rue Du Temple, Saint-Merri, Paris, Paris, 75004, France"
H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,8.7,48.8725794,2.3075779,Paris,France,"11, Rue Paul Baudry, Faubourg du Roule, Paris, Paris, 75008, France"
The Rembrandt,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,8.5,51.4959227,-0.1702917,London,United Kingdom,"11, Thurloe Place, Knightsbridge, London, Greater London, SW7 2RY, United Kingdom"
Hotel Eden,110 rue Blomet 15th arr 75015 Paris France,8.5,48.8405612,2.2991035,Paris,France,"110, Rue Blomet, Saint-Lambert, Paris, Paris, 75015, France"
H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France,8.8,48.8550466,2.304583,Paris,France,"111, Avenue De La Bourdonnais, Gros Caillou, Paris, Paris, 75007, France"
Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,8.6,51.4945522,-0.1861213,London,United Kingdom,"Ashburn Hotel, 111, Cromwell Road, The Boltons, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4DW, United Kingdom"
Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,8.6,51.4990953,-0.1132136,London,United Kingdom,"111, Westminster Bridge Road, Lambeth, London, Greater London, SE1 7HR, United Kingdom"
Best Western Premier Marais Grands Boulevards,112 boulevard de S bastopol 3rd arr 75003 Paris France,8.3,48.8687425,2.3541761,Paris,France,"112, Boulevard De Sébastopol, Arts-et-Metiers, Paris, Paris, 75003, France"
Novotel London Waterloo,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,8.2,51.4948465,-0.1187481,London,United Kingdom,"Novotel London Waterloo, 113, Lambeth Road, Kennington Cross, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7LS, United Kingdom"
The Athenaeum,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,8.1,51.504716,-0.1475618,London,United Kingdom,"116, Piccadilly, Mayfair, London, Greater London, W1J 7BX, United Kingdom"
Park International Hotel,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,7.8,51.4945144,-0.1866172,London,United Kingdom,"Park International Hotel, 117-129, Cromwell Road, The Boltons, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 4DW, United Kingdom"
Lansbury Heritage Hotel,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,9.4,51.5090985,-0.0157302,London,United Kingdom,"Lansbury Heritage Hotel, 117, Poplar High Street, Canary Wharf, Poplar, London Borough of Tower Hamlets, London, Greater London, England, E14 0AE, United Kingdom"
